time,open,high,low,close,volume,bid,ask,spread,MACD_15_30_9,MACDh_15_30_9,MACDs_15_30_9,EMA_10,EMA_50,EMA_100
2022-07-20 08:10:00,1.02332,1.02444,1.0232,1.02335,948,1.02327,1.02343,-0.00016000000000016001,-0.0001844547768843352,-0.00019097683572407895,6.522058839743749e-06,1.023746680430168,1.0241635886704599,
2022-07-20 08:15:00,1.02335,1.02382,1.02274,1.02288,880,1.02281,1.02296,-0.0001500000000000945,-0.0002377693756128174,-0.00019543314756204894,-4.2336228050768485e-05,1.0235891021701375,1.0241132518598537,1.0241082
2022-07-20 08:20:00,1.02284,1.0234,1.02239,1.02339,884,1.02332,1.02346,-0.000140000000000029,-0.00024864568525240216,-0.00016504756576130692,-8.359811949109522e-05,1.0235529017755671,1.0240848890418202,1.0240939782178218
2022-07-20 08:25:00,1.0234,1.02361,1.02281,1.02284,567,1.02276,1.02293,-0.00017000000000000348,-0.00028880939285858,-0.0001641690186939878,-0.00012464037416459219,1.0234232832709185,1.0240360698637097,1.0240691469659837
2022-07-20 08:30:00,1.02286,1.02395,1.02284,1.02342,701,1.02333,1.0235,-0.00017000000000000348,-0.00028427557777122026,-0.00012770816288530245,-0.0001565674148859178,1.0234226863125697,1.0240119102612113,1.0240562925706176
2022-07-20 08:35:00,1.02343,1.02385,1.02304,1.0231,612,1.02303,1.02316,-0.00012999999999996348,-0.00029762672447186667,-0.00011284744766875906,-0.0001847792768031076,1.0233640160739206,1.0239761490744972,1.0240373560840708
2022-07-20 08:40:00,1.02306,1.0238,1.02302,1.02342,533,1.02335,1.0235,-0.0001500000000000945,-0.00028680022983995634,-8.161676242947897e-05,-0.00020518346741047738,1.0233741949695714,1.02395433930687,1.0240251312111188
2022-07-20 08:45:00,1.02342,1.02416,1.02339,1.02408,534,1.02399,1.02416,-0.00017000000000000348,-0.0002357059602031697,-2.4417994234153848e-05,-0.00021128796596901585,1.023502523156922,1.0239592671771889,1.0240262177217896
2022-07-20 08:50:00,1.02406,1.0242,1.02364,1.02407,516,1.02398,1.02416,-0.000180000000000069,-0.00019258681239375797,1.496092286020631e-05,-0.00020754773525396428,1.0236057007647543,1.0239636096408287,1.0240270846975958
2022-07-20 08:55:00,1.02407,1.0241,1.02298,1.02315,547,1.02307,1.02323,-0.00016000000000016001,-0.0002113837453372458,-3.0688080666252014e-06,-0.0002083149372706206,1.0235228460802535,1.023931703380404,1.024009716683782
2022-07-20 09:00:00,1.02315,1.02376,1.023,1.02366,560,1.02359,1.02374,-0.0001500000000000945,-0.00019421846266309828,1.1277179686017849e-05,-0.00020549564234911613,1.023547783156571,1.0239210483458785,1.0240027916009349
2022-07-20 09:05:00,1.02364,1.02424,1.0236,1.02406,413,1.02398,1.02415,-0.00017000000000000348,-0.00015440802190425096,4.087009635589216e-05,-0.00019527811826014312,1.0236409134917397,1.023926497430354,1.0240039244405201
2022-07-20 09:10:00,1.02408,1.02428,1.02384,1.02408,421,1.024,1.02416,-0.00015999999999993797,-0.00011936634642917276,6.07294174647763e-05,-0.00018009576389394906,1.0237207474023324,1.0239325171389675,1.0240054308872424
2022-07-20 09:15:00,1.02408,1.02518,1.02408,1.02499,523,1.02491,1.02507,-0.00015999999999993797,-3.468008508100695e-05,0.00011633254305035368,-0.00015101262813136063,1.0239515206019083,1.0239739870550864,1.0240249273053168
2022-07-20 09:20:00,1.025,1.02504,1.0243,1.02442,596,1.02436,1.02449,-0.00012999999999996348,4.435892084764248e-07,0.00012116497387186966,-0.00012072138466339323,1.0240366986742886,1.0239914777588084,1.0240327505269937
2022-07-20 09:25:00,1.02444,1.02453,1.02382,1.02425,724,1.02417,1.02433,-0.00015999999999993797,1.8908180750010217e-05,0.00011170365233072276,-9.279547158071254e-05,1.0240754807335088,1.024001615885914,1.0240370524967561
2022-07-20 09:30:00,1.02422,1.02468,1.02412,1.02419,479,1.02411,1.02427,-0.00015999999999993797,3.024082478830792e-05,9.842903709521639e-05,-6.818821230690847e-05,1.0240963024183254,1.024009003498231,1.0240400811601869
2022-07-20 09:35:00,1.02417,1.02488,1.02416,1.02484,478,1.02477,1.02492,-0.0001500000000000945,7.858778079694595e-05,0.00011742079448308354,-3.883301368613758e-05,1.024231520160448,1.0240415915963397,1.0240559211372127
2022-07-20 09:40:00,1.02482,1.02519,1.02449,1.02495,502,1.02487,1.02503,-0.00016000000000016001,0.00012418155703985967,0.0001304116565807978,-6.230099540938134e-06,1.0243621528585483,1.0240772154553066,1.0240736256691492
2022-07-20 09:45:00,1.02494,1.02502,1.02442,1.02468,401,1.0246,1.02476,-0.00015999999999993797,0.0001441701597140188,0.00012032020740396554,2.384995231005326e-05,1.024419943247903,1.0241008540649024,1.0240856330816412
2022-07-20 09:50:00,1.02466,1.02479,1.02426,1.02474,425,1.02465,1.02483,-0.00017999999999984695,0.00016299816787301857,0.00011131857245037225,5.167959542264632e-05,1.024478135384648,1.0241259186113767,1.0240985908424007
2022-07-20 09:55:00,1.02472,1.0253,1.0247,1.02516,492,1.02508,1.02524,-0.00015999999999993797,0.0002024985280364433,0.00012065514609103759,8.184338194540572e-05,1.0246021107692573,1.0241664708226954,1.0241196088455213
2022-07-20 10:00:00,1.02514,1.02515,1.02399,1.02448,653,1.0244,1.02457,-0.00017000000000000348,0.0001920693992343292,8.818081383113878e-05,0.00010388858540319042,1.0245799088112104,1.0241787660845505,1.024126745304026
2022-07-20 10:05:00,1.02448,1.02493,1.02442,1.02476,427,1.02467,1.02484,-0.00017000000000000348,0.00019891918977754663,7.602448349948497e-05,0.00012289470627806166,1.0246126526637176,1.0242015595714309,1.0241392850009758
2022-07-20 10:10:00,1.02475,1.02478,1.02394,1.024,432,1.02392,1.02408,-0.00016000000000016001,0.00015695414582883593,2.7247551640619406e-05,0.00012970659418821653,1.0245012612703144,1.0241936552745121,1.0241365268821447
2022-07-20 10:15:00,1.02398,1.02418,1.02354,1.02366,425,1.02358,1.02375,-0.00017000000000000348,0.00010077345142045502,-2.314651421420923e-05,0.00012391996563466425,1.0243483046757118,1.024172727616688,1.0241270907062607
2022-07-20 10:20:00,1.02368,1.02384,1.02316,1.0233,466,1.02322,1.02339,-0.00017000000000000348,3.219995195391512e-05,-7.337601094459931e-05,0.00010557596289851443,1.0241577038255825,1.0241385030042691,1.0241107126724733
2022-07-20 10:25:00,1.0233,1.02418,1.02296,1.02398,563,1.02391,1.02406,-0.00014999999999987246,1.6938579793901454e-05,-7.090990648369038e-05,8.784848627759183e-05,1.0241253940391128,1.0241322872001801,1.0241081243027212
2022-07-20 10:30:00,1.02396,1.02402,1.02112,1.02114,1253,1.02107,1.02122,-0.0001500000000000945,-0.00016746438677084363,-0.00020425029843874838,3.6785911667904744e-05,1.0235825951229105,1.0240149426040945,1.0240493495640535
2022-07-20 10:35:00,1.02114,1.02155,1.01928,1.01932,1510,1.01923,1.01942,-0.00018999999999991246,-0.0004271372635411552,-0.000371138540167248,-5.5998723373907244e-05,1.0228075778278358,1.0238308272078556,1.0239556990776366
2022-07-20 10:40:00,1.01934,1.01955,1.0184,1.01886,1307,1.01879,1.01893,-0.00013999999999980695,-0.0006640700032884972,-0.00048645702393167195,-0.00017761297935682524,1.022089836404593,1.0236358928075475,1.0238547941454061
2022-07-20 10:45:00,1.01884,1.01906,1.01734,1.01871,1363,1.01862,1.0188,-0.00017999999999984695,-0.0008617280926517257,-0.0005472920906359203,-0.00031443600201580535,1.021475320694667,1.023442720540585,1.023752917033616
2022-07-20 10:50:00,1.0187,1.01911,1.01852,1.01879,965,1.01871,1.01887,-0.00015999999999993797,-0.0010117326731173826,-0.0005578373368812618,-0.0004538953362361208,1.0209870805683638,1.0232602609115424,1.0236546414487917
2022-07-20 10:55:00,1.0188,1.0199,1.0188,1.01978,827,1.01969,1.01986,-0.00017000000000000348,-0.0010664805137958755,-0.0004900681420478037,-0.0005764123717480718,1.0207676113741158,1.0231237800914819,1.0235779158755482
2022-07-20 11:00:00,1.01979,1.0199,1.01896,1.0193,712,1.01921,1.01939,-0.000180000000000069,-0.001131725879240042,-0.0004442508059935761,-0.0006874750732464659,1.0205007729424582,1.0229738279310316,1.0234932046700917
2022-07-20 11:05:00,1.0193,1.02084,1.01922,1.02074,738,1.02065,1.02082,-0.00017000000000000348,-0.0010889087720897805,-0.00032114695907465175,-0.0007677618130151288,1.0205442687711022,1.022886226835697,1.0234386857657334
2022-07-20 11:10:00,1.0207,1.02118,1.02028,1.02102,619,1.02094,1.0211,-0.00015999999999993797,-0.0010281438918653407,-0.00020830566308016943,-0.0008198382287851713,1.0206307653581743,1.0228130414695913,1.023390790998095
2022-07-20 11:15:00,1.02102,1.02115,1.02055,1.02106,449,1.02098,1.02113,-0.0001500000000000945,-0.0009676940593277283,-0.00011828466443404562,-0.0008494093948936827,1.0207088080203244,1.0227442947452936,1.023344636720905
2022-07-20 11:20:00,1.0211,1.02144,1.0204,1.02059,636,1.02051,1.02067,-0.00015999999999993797,-0.000938836381409125,-7.154158921235366e-05,-0.0008672947921967713,1.0206872065620836,1.0226598125984194,1.0232900894591048
